hidden_layer_size,activation,solver,alpha,batch_size,learning_rate,learning_rate_init,max_iter,shuffle,early_stopping,validation_fraction,n_iter_no_change,rmse
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,True,True,0.1,10.0,0.34795806519197536
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,True,True,0.1,10.0,0.35263853247883653
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,True,True,0.1,10.0,0.41197035332450144
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,True,True,0.1,10.0,0.4556165355482831
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,False,False,0.1,10.0,0.37857322289303647
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,True,False,0.1,10.0,0.4060816082025395
100_100,relu,lbfgs,0.0001,10,adaptive,0.001,1000,True,False,0.1,10.0,0.42287485578007583
1000_1000,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,0.39637956267150226
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,0.4704837480667404
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,0.44376043949536337
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,1.1642361505619008
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,1.3402469997660102
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,1.0728831980442977
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,0.7103475212205941
100 1000 100 25,relu,sgd,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,5948025917527756.0
100 1000 100 25,relu,adam,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,3.367145141368698
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,1.6660343959436352
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,0.5873173000062345
100 1000 100 25,relu,lbfgs,0.01,10,adaptive,0.001,1000,False,False,0.1,10.0,0.8006891104754447
